protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
slitrk1,0.805534325410283,0.664169145369675,0.97698839811812,-2.19642141867444,0.0280617939927498,110,0.319093290284745
ncan,0.81275335560981,0.675115905027788,0.978451273530309,-2.19007967536411,0.0285184589702275,119,0.32220336408432
dipk1c,0.77712341111192,0.620101566837681,0.973906257289477,-2.18955300367216,0.0285566705371881,108,0.32220336408432
omd,0.828867323218763,0.700527364804571,0.980719774867749,-2.18678642727129,0.0287581187584593,120,0.323035504775205
ceacam8,1.24299969885271,1.02263084052249,1.51085630329565,2.18472134427921,0.0289092842169407,118,0.323035504775205
cep85,0.742938730543765,0.568937367654858,0.970155923519552,-2.18250633586671,0.0290721841650125,116,0.323035504775205
il15,1.20194769375166,1.01893082191563,1.41783743061073,2.18247756679412,0.0290743051360713,122,0.323035504775205
mapk9,0.795077264069032,0.646799678430286,0.9773472018008,-2.17754485266914,0.0294399390736606,122,0.325854230583369
clstn3,0.793440354482375,0.644016246876758,0.977533717781487,-2.17340432508476,0.0297498996030576,107,0.326990024331168
rtn4ip1,1.45002953924914,1.03712878054382,2.02731396923781,2.17317414702617,0.0297672127955203,110,0.326990024331168
vps53,0.614068758114614,0.394817597347496,0.955075058016067,-2.16393474840849,0.0304693576293666,118,0.333444737064234
cc2d1a,0.686200378499131,0.487569047288383,0.965752362811178,-2.15982627702289,0.0307861206318938,119,0.335649427563456
fuom,0.796558250313106,0.647800998031976,0.979475252538215,-2.15659218661148,0.0310374538682772,111,0.337126970934906
fgf23,1.16259528359414,1.01360886938613,1.3334806297166,2.15314956515725,0.0313069259282761,122,0.337427824370467
cdhr2,0.780742282398878,0.623246382334375,0.978037785381605,-2.15314753087921,0.0313070857534536,118,0.337427824370467
csf2ra,1.19674757434562,1.01603200888128,1.40960594172529,2.15038812465031,0.0315245268966386,119,0.337427824370467
il36g,1.17795150873839,1.01460486142411,1.36759620389699,2.15033392462312,0.0315288107965535,109,0.337427824370467
