protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
ca6,-0.319211618257261,-0.293547033898305,0.677241697821411,0.912759532890162,-0.0256645843589563,-0.0256645843589563,""
pla2g15,0.0443078512396694,0.0423634453781513,0.680098663394582,0.912759532890162,0.00194440586151816,0.00194440586151816,""
robo4,0.0110370731707317,0.0163669724770642,0.683386271435135,0.912759532890162,-0.00532989930633252,-0.00532989930633252,""
cst5,-0.209207531380753,-0.203450429184549,0.686732304391266,0.912759532890162,-0.00575710219620376,-0.00575710219620376,""
clec10a,-0.0648715767634855,-0.0516677350427351,0.689530299302894,0.912759532890162,-0.0132038417207504,-0.0132038417207504,""
cxcl16,0.0364293522267207,0.0590635593220339,0.705236732269231,0.926882562410989,-0.0226342070953133,-0.0226342070953133,""
lgals9,0.0456214583333333,0.0707586497890295,0.71184549240857,0.928163201918828,-0.0251371914556962,-0.0251371914556962,""
prss8,-0.0157262605042017,0.00617754237288136,0.72225441372861,0.928163201918828,-0.021903802877083,-0.021903802877083,""
ptprn2,-0.0459186721991701,-0.025237339055794,0.724983972324899,0.928163201918828,-0.0206813331433761,-0.0206813331433761,""
dner,-0.0706822314049587,-0.0659102510460251,0.733720413754609,0.928163201918828,-0.00477198035893357,-0.00477198035893357,""
ctsc,0.0200227848101266,0.0258972457627119,0.733789577793249,0.928163201918828,-0.00587446095258528,-0.00587446095258528,""
adam23,-0.124933400809717,-0.102060625,0.736477323261679,0.928163201918828,-0.0228727758097166,-0.0228727758097166,""
il17rb,0.131405439330544,0.153997446808511,0.752342720675606,0.939546695198341,-0.0225920074779667,-0.0225920074779667,""
magea3,0.0361054761904762,0.062554954954955,0.75572234178997,0.939546695198341,-0.0264494787644788,-0.0264494787644788,""
cr1,-0.0583047169811321,-0.0685048672566372,0.763415168235404,0.942306978527079,0.0102001502755051,0.0102001502755051,""
lrtm2,-0.00699511627906975,0.00319577777777777,0.768185036842728,0.942306978527079,-0.0101908940568475,-0.0101908940568475,""
crtac1,-0.139492307692308,-0.116673109243697,0.787962336660865,0.960166026129796,-0.0228191984486102,-0.0228191984486102,""
tnr,-0.0426390041493776,-0.053034188034188,0.809011580287906,0.969529345146297,0.0103951838848104,0.0103951838848104,""
vgf,-0.0226653488372093,-0.0303591111111111,0.816149831749056,0.969529345146297,0.00769376227390179,0.00769376227390179,""
klk6,-0.110178925619835,-0.0980067226890756,0.81807475244106,0.969529345146297,-0.0121722029307591,-0.0121722029307591,""
rab6a,-0.0793336776859504,-0.0656210084033614,0.822168544672235,0.969529345146297,-0.013712669282589,-0.013712669282589,""
enpp5,-0.19596694214876,-0.195679288702929,0.823226415473309,0.969529345146297,-0.000287653445831482,-0.000287653445831482,""
adgre5,-0.0816387755102041,-0.0748631914893617,0.827261452108525,0.969529345146297,-0.00677558402084238,-0.00677558402084238,""
susd2,0.0488427385892116,0.0369851694915254,0.840459809504781,0.978763322461264,0.0118575690976862,0.0118575690976862,""
chga,0.312969953051643,0.323543243243243,0.849932056129336,0.978970676323718,-0.0105732901916,-0.0105732901916,""
itga11,-0.136148760330579,-0.162934663865546,0.85818380426639,0.978970676323718,0.0267859035349677,0.0267859035349677,""
pdia3,0.0360375598086124,0.0269705069124424,0.861582344038762,0.978970676323718,0.00906705289617005,0.00906705289617005,""
adgre2,-0.0841824380165289,-0.076136820083682,0.868165079443538,0.978970676323718,-0.00804561793284693,-0.00804561793284693,""
cbln4,-0.0850743852459016,-0.093284375,0.873726266832552,0.978970676323718,0.00820998975409834,0.00820998975409834,""
mia,-0.0359702479338843,-0.0338823529411765,0.882017749543287,0.978970676323718,-0.00208789499270783,-0.00208789499270783,""
elob,0.105789756097561,0.0414412037037037,0.882459578844527,0.978970676323718,0.0643485523938573,0.0643485523938573,""
gsr,-0.0714709905660377,-0.0667747787610619,0.883201805813789,0.978970676323718,-0.0046962118049758,-0.0046962118049758,""
setmar,-0.0877026970954357,-0.111153205128205,0.907649941447618,0.985712776748042,0.0234505080327695,0.0234505080327695,""
lpo,-0.0669695744680851,-0.101197787610619,0.908413695615071,0.985712776748042,0.0342282131425343,0.0342282131425343,""
jchain,0.0963316115702479,0.0867823404255319,0.912177968292571,0.985712776748042,0.00954927114471601,0.00954927114471601,""
gpc1,-0.103878893442623,-0.0982314583333333,0.912269365150014,0.985712776748042,-0.00564743510928963,-0.00564743510928963,""
il6,0.184167355371901,0.149223504273504,0.919303055532243,0.985712776748042,0.0349438510983966,0.0349438510983966,""
pepd,-0.0992467289719626,-0.098108407079646,0.921427160873169,0.985712776748042,-0.00113832189231659,-0.00113832189231659,""
