protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
ppp1r14d,0.037495659663006546,0.018466544042592053,1.271262729680959,0.20364215599530325,0.9518722274231168,448,42045,0.05651607142857142,0.03374441075038649,False,False
fbn2,-0.04753721465178823,0.02929346253619316,-1.270045068036489,0.2040757154545384,0.9518722274231168,436,40966,-0.07563325688073395,-0.033216140213835864,False,False
tp53i3,-0.037983884991072206,0.018517186143106275,-1.2699119641944978,0.20412324578359856,0.9518722274231168,421,40314,-0.04402969121140143,0.026919811975988486,False,False
ahsg,-0.0334784983382999,0.013072327183369512,-1.2668251892029658,0.2052247285469022,0.9518722274231168,447,42161,-0.03783948545861298,-0.0013624795427053435,False,False
aldh1a1,-0.044457954827751375,0.027768301130640712,-1.2662157680086514,0.20544190340941776,0.9518722274231168,487,48193,-0.03929496919917864,0.06341276845184986,False,False
kirrel2,-0.03749191928513243,0.020100905456794774,-1.2660212260096941,0.2055116896262015,0.9518722274231168,485,47038,-0.02234268041237113,-0.0005796292359369021,False,False
lgals4,0.04388812178136374,0.027215121314504733,1.2654027999824329,0.20573303655664732,0.9518722274231168,489,48132,0.04587116564417178,0.039988724756918476,False,False
ddt,-0.038341849111678844,0.0197615414496486,-1.265070804864241,0.20585287407455893,0.9518722274231168,443,42120,-0.02563814898419865,0.04841324311490978,False,False
ednrb,0.04080873199523217,0.02229017211635807,1.2650279638232333,0.20586843678164898,0.9518722274231168,433,40898,0.0994069284064665,0.06036844711232823,False,False
apol1,-0.0484156503190118,0.030621816111898074,-1.264848573500699,0.2059325338450077,0.9518722274231168,447,42161,0.09219530201342284,0.09940352577026161,False,False
cd109,-0.03450110403388093,0.016810726610371272,-1.2646159135209536,0.20601510050567268,0.9518722274231168,487,48193,-0.037383162217659145,0.0006363393023883132,False,False
tmsb10,0.03849690662424496,0.021563758104118237,1.2646127545698498,0.2060162334451426,0.9518722274231168,487,48193,0.01306149897330596,0.009694717075093893,False,False
prdx5,0.03961609287478156,0.022994096783300635,1.2618820909936497,0.20699720062470303,0.9518722274231168,497,48696,-0.12659688128772636,-0.1295276028831937,False,False
c1qtnf9,-0.042325823261317785,0.024184108276723324,-1.2615632532592704,0.20711306656317519,0.9518722274231168,431,41133,-0.10669663573085847,-0.049454553521503415,False,False
vgf,-0.03465686200157462,0.015072337632864197,-1.2603682001800862,0.20754348934636377,0.9518722274231168,448,42045,-0.021668191964285714,0.004743352360566059,False,False
pts,-0.045220716762567684,0.02850672546550936,-1.2601041629341767,0.20763800660741805,0.9518722274231168,482,46814,-0.020795124481327802,0.068792555645747,False,False
susd1,-0.03588335609244386,0.01844728664515728,-1.260076801545471,0.2076478160388678,0.9518722274231168,474,47281,-0.09240685654008438,-0.04424479177682367,False,False
notch2,-0.03211444204693056,0.011048223794549013,-1.2595092734859106,0.20785335008703876,0.9518722274231168,443,42120,-0.002128329571106095,0.02786197174738841,False,False
tcn1,-0.03592795174980808,0.016621599122410537,-1.2588718994437436,0.20808364330947068,0.9518722274231168,436,41322,-0.02018532110091743,0.00861063356081506,False,False
foxo3,0.05783994001878958,0.04058666066749641,1.2561130097144446,0.20908117681577673,0.9518722274231168,476,47037,0.14075577731092434,0.10777279588409124,False,False
retn,0.03791223989454287,0.02121036753595328,1.2548194884766972,0.2095503375204489,0.9518722274231168,488,48059,0.04269211065573769,0.01484020058677875,False,False
