protein,logFC_ms,t_ms,P.Value_ms,fdr_ms,logFC_ytd,t_ytd,P.Value_ytd,fdr_ytd,gap_5yr
smpdl3a,-0.207317338077461,-1.50422560509741,0.132757393218607,0.776257022755728,0.0167677831931896,0.990288872248943,0.322210554717988,0.998656629238247,-0.123478422111513
smpdl3b,0.04864353468932,0.320128465789697,0.748920529566014,0.966483136342231,-0.0046208519127173,-0.247531295266955,0.804534748137108,0.998656629238247,0.0255392751257335
sms,0.0331784426394461,0.347790556768792,0.728051747349653,0.960335526965808,-0.00839464561798083,-0.716263881634869,0.473952412680119,0.998656629238247,-0.00879478545045804
smtn,-0.10281166623941,-0.76506390253247,0.444367329710272,0.885707232393103,0.00402106138764674,0.2435594098169,0.807609104766673,0.998656629238247,-0.0827063593011764
snap23,-0.0765803481541761,-1.02780928001214,0.304223826118909,0.859232078488089,0.00766422823532321,0.837283481713921,0.402581566399771,0.998656629238247,-0.03825920697756
snap25,-0.00889960967035989,-0.136777330427113,0.891227214910774,0.976109678783387,-0.00389125757514103,-0.486790438089363,0.6264859366793,0.998656629238247,-0.0283558975460651
snap29,0.0591587308996526,0.771259060608648,0.440688478709293,0.885707232393103,-0.000211267473576896,-0.0224193473230528,0.982116763313794,0.998754757248377,0.0581023935317681
snapin,-0.0847514951510221,-1.04309641291793,0.297090555289159,0.859232078488089,0.00590110622950488,0.591179562805113,0.554499168077491,0.998656629238247,-0.0552459640034977
snca,0.124104690072198,0.959429599207552,0.337514314995029,0.870092229513724,0.00540997964425342,0.340431270275287,0.733584784290413,0.998656629238247,0.151154588293465
sncg,0.0743528543835028,0.564903414689958,0.572233397352124,0.928476006380844,-0.0214247570645193,-1.32495569569395,0.185410255589488,0.998656629238247,-0.0327709309390936
sned1,-0.0917257246908076,-1.62126824756575,0.105193842339278,0.747996329128821,0.00790652458269441,1.13751791986631,0.255523861943153,0.998656629238247,-0.0521931017773355
snrpb2,0.00847004718281536,0.149440965993291,0.881228029128406,0.976109678783387,-0.00339266136598814,-0.487229130263338,0.626175135158714,0.998656629238247,-0.00849325964712532
snu13,-0.0552233892054595,-0.515653943905807,0.606180633938345,0.939916897196264,0.00860789798841682,0.654246328775208,0.513064650314235,0.998656629238247,-0.0121838992633753
snx15,0.0823242112789197,1.20236116562353,0.229434659990549,0.828640564804577,-0.00705349755638402,-0.838534196478065,0.401879323547897,0.998656629238247,0.0470567234969996
snx18,0.0827410295752187,0.98683341502876,0.323901294716398,0.86513635747986,0.000739030585049468,0.0717454285617679,0.942815138827583,0.998656629238247,0.0864361825004661
snx2,0.210864146893606,1.75589574775318,0.0793331604381391,0.688557354995083,-0.0238257347865817,-1.6149206319789,0.106561760187819,0.998656629238247,0.0917354729606973
snx5,0.0338496746317193,0.788381281014218,0.430612250749691,0.885707232393103,-0.00686591181343592,-1.30163411434705,0.193263754194172,0.998656629238247,-0.000479884435460244
snx9,0.0704280633116544,1.02830939966666,0.303988673916127,0.859232078488089,-0.00798570875598566,-0.949074757819039,0.342752602612375,0.998656629238247,0.0304995195317261
sod1,0.0330228848296496,0.413097813309386,0.679600611657506,0.950646853575382,0.00743029351871432,0.756576333821694,0.449435848170748,0.998656629238247,0.0701743524232212
sod2,0.0184922613785237,0.295735908645661,0.767477292524436,0.966601650154104,-0.00292107709229135,-0.380247136181786,0.703821841081413,0.998656629238247,0.00388687591706696
sod3,-0.0261430617818044,-0.219034490286409,0.82665631889332,0.972088761475552,0.00194631755473954,0.132732921330788,0.894424403782744,0.998656629238247,-0.0164114740081067
sorbs1,0.151644268373464,2.23715100715122,0.0254392962753645,0.571464752807118,-0.0149705407494842,-1.7976936460518,0.0724491466871415,0.998656629238247,0.0767915646260425
sorcs2,-0.0394473254311725,-0.598386694289756,0.549682408052181,0.923392448782264,0.0118042886878599,1.45751516838069,0.145206999086861,0.998656629238247,0.019574118008127
sord,-0.0312438183607143,-0.27378864597127,0.784288968718757,0.968866948310609,-0.00575653721942414,-0.410602455819531,0.681429278644358,0.998656629238247,-0.060026504457835
sort1,0.089029340905716,1.4388610174097,0.150421905257332,0.781304704690636,-0.00872600842690989,-1.14791627238289,0.251206679821854,0.998656629238247,0.0453992987711666
sost,0.0352694447846028,0.447483641340742,0.65459774900729,0.949535876694814,-0.00562049223127741,-0.580445953934087,0.561710879692621,0.998656629238247,0.00716698362821569
sowaha,-0.0152608407680812,-0.167590115930295,0.8669308700664,0.975190640142772,0.0182711103868052,1.63321657147021,0.102656841970619,0.998656629238247,0.0760947111659448
sox2,0.00302830026363211,0.0771774804367841,0.938493802396062,0.983158110179575,-0.00251855072965122,-0.522457852461372,0.60143738086006,0.998656629238247,-0.00956445338462399
sox9,0.0236265360893108,0.522267304737521,0.60156999017315,0.936087933280245,-0.00338668732642448,-0.609363985851742,0.542385828983763,0.998656629238247,0.00669309945718841
spaca5_spaca5b,0.00601177725673078,0.112190182040161,0.910689306762624,0.978666232232106,-0.0035632343708224,-0.541259156573873,0.588418349698624,0.998656629238247,-0.0118043945973812
spag1,0.00698619456876621,0.0726508040295397,0.942094768953103,0.983305081542662,-0.0208497894321635,-1.76486023324002,0.0778135325531453,0.998656629238247,-0.0972627525920514
sparc,0.167646044000758,1.3242233338226,0.185653228384485,0.794668645954252,-0.00323673001608278,-0.208105375163958,0.835178108001026,0.998656629238247,0.151462393920344
sparcl1,0.0095293741331116,0.178904861350952,0.858039273742577,0.975118213863549,-0.00280083140179405,-0.428009714700342,0.668712376937164,0.998656629238247,-0.00447478287585866
spart,-0.00653751878029117,-0.109358720268215,0.912934240635926,0.978666232232106,0.00594795239856523,0.809872868799689,0.418156096599549,0.998656629238247,0.023202243212535
spesp1,-0.0119185466879822,-0.233203595012802,0.81563869844512,0.972088761475552,-0.000102046097769816,-0.0162523900637048,0.987035443326736,0.999453798816077,-0.0124287771768313
spink1,0.194444548973837,2.29707527744966,0.0217670544102834,0.570237067982063,-0.0135933575687784,-1.30711889296841,0.191395120227118,0.998656629238247,0.126477761129945
spink2,-0.0771218456725985,-1.14659354202738,0.251753004231647,0.846701300972208,0.0128954830176838,1.5605532291296,0.118863783529527,0.998656629238247,-0.0126444305841797
spink4,0.1081768828799,0.832676284310009,0.405174730393048,0.881081726168853,-0.0181659129918662,-1.13817189726208,0.255250832031217,0.998656629238247,0.0173473179205696
spink5,0.0880617556199782,1.34892887886109,0.177586222444269,0.792873456342434,-0.00665505738295445,-0.829778950304726,0.406810603898025,0.998656629238247,0.054786468705206
spink6,0.112173834239036,0.97282838899782,0.330813024588651,0.869938992572789,-0.0139303849278057,-0.98336938614853,0.325602025601312,0.998656629238247,0.0425219096000079
spink8,0.00629728852947787,0.0951447325260945,0.924214000231346,0.978678412031084,-0.00433820300382895,-0.533519041219042,0.593762235201469,0.998656629238247,-0.0153937264896669
spint1,0.0166523371373439,0.335490454668641,0.737307316458927,0.963762510006872,0.000935770539374777,0.153455775239449,0.878061817603337,0.998656629238247,0.0213311898342178
spint2,0.157771378763886,2.10147717992369,0.0357842035700157,0.579951074728645,-0.00643069388045204,-0.69720932947646,0.485791950183408,0.998656629238247,0.125617909361626
spint3,-0.430071622056968,-1.36469899056814,0.172575289542317,0.784805727711553,0.0625226267408151,1.61488721010754,0.106568999814475,0.998656629238247,-0.117458488352892
spock1,-0.136153865215507,-2.56501031622596,0.0104246429874444,0.550930482484426,0.00601324937661075,0.922098365430688,0.356642172073273,0.998656629238247,-0.106087618332453
spon1,0.00793662004992539,0.124976338543336,0.900560905623528,0.978549009432657,-0.00421422046404822,-0.540154943030373,0.589179352712291,0.998656629238247,-0.0131344822703157
spon2,0.0750979419828615,1.16672582296838,0.243527343684657,0.841230590452366,-0.00851424001932521,-1.07670209839266,0.281805910073382,0.998656629238247,0.0325267418862354
spp1,0.183440099534778,1.90016446739324,0.0576246097104709,0.663355327548491,-0.0236272388594959,-1.99213507949861,0.0465575433918318,0.998656629238247,0.0653039052372986
spred2,-0.107703163198298,-1.50790256684317,0.131813640688446,0.776257022755728,0.0115191756566893,1.31272911880516,0.189497549784672,0.998656629238247,-0.0501072849148511
spring1,0.114740226686025,1.21966714948175,0.222804301782674,0.818782817012601,-0.015876168597714,-1.37366306575156,0.169774562169928,0.998656629238247,0.0353593836974544
sprr1b,-0.0436928272694053,-0.299199054284496,0.764834264167316,0.966483136342231,0.00431852230373232,0.240709999212909,0.809816469654994,0.998656629238247,-0.0221002157507437
sprr3,0.0930234848959308,0.715387427572954,0.474493490512544,0.89023613545086,-0.0177417991635363,-1.11059382109638,0.266941162686285,0.998656629238247,0.00431448907824911
spry2,0.0304390931847876,0.333277897306535,0.738976319764743,0.964289166108399,-0.00270144398059667,-0.240757410993993,0.809779728525348,0.998656629238247,0.0169318732818042
sptbn2,0.0890670475661555,1.76549456117544,0.0777069087514622,0.688509265932343,-0.0120232981350999,-1.93991115247127,0.052598716586116,0.998656629238247,0.0289505568906561
sptlc1,-0.0777999975818185,-1.44091542021393,0.149840671588291,0.781304704690636,0.00616512030579119,0.929414315133389,0.352840709330313,0.998656629238247,-0.0469743960528625
src,0.01613316278699,0.179334230558771,0.857702205011898,0.975118213863549,-0.0036155199759858,-0.327132233756649,0.743618632660707,0.998656629238247,-0.00194443709293899
srp14,0.0278403360426694,0.274870268045185,0.78345800577867,0.968838680892825,-0.00206455314864363,-0.165915995216502,0.868247924577797,0.998656629238247,0.0175175702994513
srpk2,-0.0647807060787785,-0.7901762608091,0.429563732937203,0.885707232393103,0.00127642152814528,0.126730549255264,0.899172554468237,0.998656629238247,-0.0583985984380521
srpx,0.0792675208184464,1.28007980937144,0.200737175041981,0.807962796601412,-0.0117169739529467,-1.54016103769489,0.123755657117397,0.998656629238247,0.0206826510537129
ssb,-0.0250863044977782,-0.222476786167725,0.823976424638821,0.972088761475552,0.00021623179567163,0.0156090497063011,0.987548594356523,0.999566744844172,-0.0240051455194201
ssbp1,0.0403723976008673,0.667082458079228,0.504833563652968,0.906359893693657,-0.005527497212931,-0.743416861138817,0.45735880691852,0.998656629238247,0.0127349115362123
ssc4d,-0.433616852593455,-1.80237102637588,0.0717102163274163,0.669464160482565,0.0280092123687323,0.947649716403384,0.343477551067364,0.998656629238247,-0.293570790749793
ssc5d,0.067442417895826,0.784859820734303,0.43267358720284,0.885707232393103,-0.0108495409204994,-1.02773044737528,0.304260903615516,0.998656629238247,0.0131947132933288
ssh3,-0.031180265055364,-0.678877964644257,0.497331652864807,0.902576335093175,0.00301843020663148,0.534936145419215,0.592782185032249,0.998656629238247,-0.0160881140222066
ssna1,-0.0896977906748115,-1.48849297497768,0.136854685396795,0.776257022755728,0.00673495203983868,0.909721474314723,0.363131944151655,0.998656629238247,-0.0560230304756181
st13,0.107285373458594,1.55073278904398,0.121200321332985,0.774708343944619,-0.00732095427077943,-0.86133687936522,0.389205619795945,0.998656629238247,0.0706806021046971
st3gal1,0.099282981823771,1.08516310022737,0.278043334543375,0.853190643454089,-0.0100313754294903,-0.89246169684157,0.372304702120117,0.998656629238247,0.0491261046763194
st6gal1,0.0378944315370312,0.723001389067718,0.469804378104795,0.89023613545086,-0.000877446226183995,-0.136267767731091,0.89162993837817,0.998656629238247,0.0335072004061112
st8sia1,-0.0859167680546162,-0.965416986051454,0.334509053254981,0.869938992572789,0.0126199462181788,1.15425935760253,0.248598319470223,0.998656629238247,-0.022817036963722
