protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
NEFL,1.25,0.158527956379708,-0.0116133735921411,0.328669286351557,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,1.5,0.158270765188625,-0.00792663917276204,0.324468169550013,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,1.75,0.158042280177455,-0.00436471052966694,0.320449270884576,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,2,0.157838928606627,-0.0010843944902339,0.316762251703488,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,2.25,0.157657137736572,0.00176704580555631,0.313547229667589,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,2.5,0.157493334827722,0.00405945625486676,0.310927213400577,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,2.75,0.157343947140506,0.00568800652620335,0.308999887754808,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,3,0.157205401935354,0.00658095830877134,0.307829845561938,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,3.25,0.157074126472699,0.00670561299182734,0.30744263995357,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,3.5,0.156946548012969,0.00607117938243029,0.307821916643508,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,3.75,0.156819093816596,0.00472787185373047,0.308910315779462,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,4,0.156688191144011,0.00276239914543877,0.310613983142582,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,4.25,0.156550267255643,0.000290790769862798,0.312809743741422,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,4.5,0.156401749411923,-0.00255007499373597,0.315353573817582,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,4.75,0.156239064873282,-0.00561092504812172,0.318089054794687,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,5,0.156058640900151,-0.00873759497314902,0.320854876773452,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,5.25,0.15585690475296,-0.0117771467982601,0.323490956304181,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,5.5,0.15563028369214,-0.0145825951740223,0.325843162558302,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,5.75,0.155375204978121,-0.0170165196806509,0.327766929636892,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,6,0.155088095871333,-0.0189539875575656,0.329130179300232,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,6.25,0.154765383632208,-0.0202852714786847,0.3298160387431,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,6.5,0.154403495521175,-0.0209188784538684,0.329725869496219,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,6.75,0.153998858798666,-0.0207854562477123,0.328783173845045,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,7,0.153547900725111,-0.0198432489705279,0.326939050420751,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,7.25,0.153048059801624,-0.0181066457580993,0.324202765361348,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,7.5,0.152500819492053,-0.0157145883941734,0.320716227378279,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,7.75,0.151908674500927,-0.0128682318648994,0.316685580866753,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,8,0.151274119532778,-0.00981186149258414,0.312360100558141,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,8.25,0.150599649292137,-0.00683451583128911,0.308033814415563,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,8.5,0.149887758483534,-0.00426861859559127,0.30404413556266,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,8.75,0.149140941811501,-0.00248221555981568,0.300764099182817,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,9,0.148361693980567,-0.00186112435221447,0.298584512313349,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,9.25,0.147552509695264,-0.00277897756329792,0.297883996953827,-0.0057761220984011,-0.484760424807479,0.473208180610676
