gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
NPTXR,0.691635104382366,0.420196506808778,0.64635859831519,0.41329823277931,0.776343072970825,0.830592492890617,0.890923590009766,1,0.324024214553241,,0.391063707219429,,,,,,-0.0702101142297653,Down in MS
DNER,0.572979348288331,0.343140267966955,0.318500875251713,0.385915634664836,0.961343030527824,0.730267278784416,0.690766384055453,1,,,,,,0.344435517483108,,,-0.070578603539209,Down in MS
HSPA1A,0.000926287371821303,0.000705433809679009,0.00067838360800538,0,0.000529403692333575,0.00233992761004353,0.000361327171968321,0.00196457028219128,0.481710706863177,0.193014697657745,0.0224238799244431,0.302497608597954,0.0262838543486171,1,0.633152041089538,0.919542091548061,-0.0708908137254737,Down in MS
KLRK1,0.0376356128624923,,0.0349939123127836,0.03960916963279,0.0421964670481873,0.057654831467824,,,1,0.136690647482014,0.623501199040767,0.0311750599520384,0.0431654676258993,,0.0359712230215827,,-0.0716431854362228,Down in MS
ACHE,0.447675562086027,0.658902771866654,0.932681121947705,0.773793937346442,0.675341511931818,1,0.467825424250278,,,,,,,0.305586861066845,0.343785218700201,,-0.0727846278590974,Down in MS
CRTAC1,0.843103546348562,,0.85770282389792,,1,,,,,,,,,,0.26303553712766,0.499767520542553,-0.0738422837002026,Down in MS
KLK6,0.590528223018319,0.380237886231054,0.314595503780305,0.231203260592394,1,0.579410736194143,0.458886682187527,0.352768443368816,,,,,,,,,-0.0759977388791826,Down in MS
NPPC,0.182036189366353,0.154925449941024,0.221477165121759,0.464805778880061,0.778280993517046,0.494505809731451,,1,0.236877956843728,0.167207969536749,,,,0.195075964459541,0.543425900994435,0.599161890840018,-0.077376126012957,Down in MS
CD160,0.0252748113330455,0.0190281441991582,0.0150816749278496,0.0106088608980292,0.0126638438535542,0.0252445845922294,0.00720013314053938,,0.209893666204346,0.00554785020804438,1,0.00508552935737402,0.0120203421174295,,0.0124826629680999,,-0.0775261134636865,Down in MS
DPP6,0.457699362870152,0.233251436930129,0.381213196416774,0.486267281476975,0.781524220409011,0.581503042610476,0.681819124912125,1,,,,,,,,,-0.0775397942811318,Down in MS
ITGA2,0.92704450276577,0.463863754179546,0.434298316158215,0.428730388529536,1,0.669342758076303,0.486862999577757,0.70962325111557,0.342300716299307,,,,,0.25967640546844,0.436728500106013,,-0.0783603848473705,Down in MS
CHGB,0.278294184465894,0.246214068251726,0.156510403765734,0.340612422024821,0.388148655721421,0.495353096009871,0.314824732168412,1,,,,,,0.109285452067307,,,-0.0808172651284053,Down in MS
CD248,0.707758999618831,1,0.824494834750383,0.742053446345744,0.411954017516324,0.491060650340378,0.629059910945847,0.321619301481543,0.724589844048227,0.379547061168119,,,,0.264532800208083,0.552068452608173,0.115014260960036,-0.081372511090909,Down in MS
TNR,0.496702823708262,0.36693423224118,0.187344549838047,,0.386605538848141,0.664953338077611,0.776410687177284,1,,0.36483286803172,,,,,,,-0.0820286094184337,Down in MS
RAB6A,0.0297578171693079,0.0154043754565593,0.0253545294987544,0,0.0276078949142837,0.0482224239248011,0.0152628423877013,0.0498253011875638,0.7779707385473,0.650673961981085,0.702480789653382,0.661035327515544,0.570743427858113,0.692119424118922,1,0.618109670301356,-0.0834571915969505,Down in MS
MEGF10,0.547448495140778,0.359869431471446,0.327679215733626,0.533356155583321,1,0.626337734856233,0.585026421380403,0.677755826172361,,,,,,,,,-0.0836236272607329,Down in MS
MXRA8,0.64544632823478,0.986118165871987,0.936647498770457,0.928015259676735,0.408673055336584,0.647904793236452,0.7377677360584,1,0.250974545533645,0.163133454596869,,,,0.363913091023785,0.489400363790607,0.276072000087009,-0.0836385292957982,Down in MS
CLEC4M,,0.60573207885505,,,,1,,,,,,,,,0.633316016460231,,-0.0837764798170252,Down in MS
CHAD,,,,,,,,,,1,,,,,1,,-0.084372594131803,Down in MS
ITGAV,0.109765736544697,0.0676694305902102,0.0943658750426465,0.0472201297269339,0.102902660543756,0.150980454190116,0.0748593798250587,0.0879874039606027,0.129129129129129,0,0.0720720720720721,0.936936936936937,0.123123123123123,1,0.0750750750750751,0.864864864864865,-0.0854749948754092,Down in MS
GOT1,0.0855614207120382,0.0592764328348037,0.0766681872654228,0,0.118224504295535,0.148062632253625,0.0753972876594634,0.140685777349823,0.480203078532483,0.995480026769848,0.213524657953496,0.55252265021492,0.0688855145886222,0.335563935167609,1,0.412403480080198,-0.0856915164958967,Down in MS
