gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
NPPC,0.182036189366353,0.154925449941024,0.221477165121759,0.464805778880061,0.778280993517046,0.494505809731451,,1,0.236877956843728,0.167207969536749,,,,0.195075964459541,0.543425900994435,0.599161890840018,-0.0998804225153601,Down in MS
MXRA8,0.64544632823478,0.986118165871987,0.936647498770457,0.928015259676735,0.408673055336584,0.647904793236452,0.7377677360584,1,0.250974545533645,0.163133454596869,,,,0.363913091023785,0.489400363790607,0.276072000087009,-0.100443532415895,Down in MS
ITGB2,0.0030526787840396,0.00290991284697044,0.00311415879779541,0.000596635864953373,0.00303664697407433,0.0104437904079334,0.00571685595268284,0,0.313193724736937,0.12947890622587,1,0.929239029233776,0.167276691852549,0.714172559078875,0.0345449330239792,0.0319078782128156,-0.101055746312718,Down in MS
RET,,0.0477973150833594,0.0788608404552934,0.0245011936114881,0.033782770027638,,,,,,,0.0508474576271186,1,,,0.114406779661017,-0.104420924139557,Down in MS
ITGB5,0.252896764551441,0.261358425688176,0.263580640146309,0.228544028420479,0.166299736017726,0.319183337753198,0.227617408739765,0.10370480792519,0.0622950819672131,0.039344262295082,,0.0360655737704918,,1,0.111475409836066,,-0.105983437348862,Down in MS
SPINK6,,,,,,,,,,,,,,,,,-0.106050851408444,Down in MS
HPGDS,0.00480585480414774,0.00469826843237154,0.00491810776669387,0.00357031270392983,0.00470405404176397,0.009492049142654,0.0065067778218272,0.00246025936368994,0.00912561691032685,0.00102430393891424,,,,0.0220690939566068,0.00148989663842071,1,-0.114033703550383,Down in MS
GRP,1,0.38934774727502,0.149668038743926,,,0.395006670286433,0.277063561984994,,,,,,,,,,-0.114546927519402,Down in MS
ITGA11,0.700684513731704,0.998518220269295,0.800781826899613,0.982475657578047,0.653862983088327,1,,0.625382350877123,,,,,,,,,-0.115395115344971,Down in MS
ENPP5,0.186473171289089,0.198934711439515,0.317237774443329,0.229543543483731,0.37066470145359,0.275493290868384,0.207564704425657,0.0844035466215729,0.263888888888889,0.0625,1,,0.0972222222222222,,,,-0.118129471937074,Down in MS
FGF23,0.437903244233115,0.347678210207526,0.518177682162302,,0.413700884508337,1,0.386451533010423,,,,,,,,,,-0.12268256022031,Down in MS
PRR4,0.53706747787488,0.507595520630983,0.503084049849676,0.396759597748224,0.537929916986035,0.603785357438341,0.435002459116568,0.271021199427688,0.418439716312057,0.666666666666667,,,,1,0.432624113475177,,-0.123384016749191,Down in MS
CHAD,,,,,,,,,,1,,,,,1,,-0.130457496597498,Down in MS
