gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
CD83,0.0112642059740521,0.00372121090214221,0,0.00110630594388012,0.00412350397264407,0.00452579704314593,0.0683898219853163,0.66800764356834,0.0358040832746656,1,0.290355023634718,0.633611586040431,0.0147842703409434,0.359650005028663,0.0645132121970238,Up in MS
CD5L,,,,,,,,,,,,1,0.0958904109589041,,0.0644324392191816,Up in MS
C4BPB,,,,,,,,0.434782608695652,,,0.521739130434783,,1,,0.0632612525096157,Up in MS
SNX18,0.0947109471094711,0.00645756457564576,0.0464329643296433,0.00338253382533825,0.0153751537515375,0.0116851168511685,0.023370233702337,0.0322878228782288,0.0673431734317343,1,0.163591635916359,0.143911439114391,0.02460024600246,0,0.0607410334255097,Up in MS
GLB1,0.367688022284123,0.779944289693593,0.370473537604457,0.454038997214485,1,0.972144846796657,0.178272980501393,0.242339832869081,0,0.481894150417827,0.225626740947075,0.899721448467966,0.370473537604457,0.295264623955432,0.0596107688749921,Up in MS
PLA2G15,0.305882352941177,0.0549019607843137,0.0627450980392157,0.125490196078431,0.184313725490196,0.172549019607843,0.0588235294117647,0,0.0431372549019608,0.0745098039215686,0.0392156862745098,1,0.0941176470588236,0.0666666666666667,0.0582548272394061,Up in MS
EPHA1,,,,,,,1,,,,,,,,0.0579567519915414,Up in MS
MOG,,,1,0.0204731574158326,,,,,,,,,,,0.0568593638801224,Up in MS
ACP5,,,,,,,0.0910020449897751,0.204498977505112,0.0286298568507158,0.0354464894342195,0.102931152010907,1,0.113496932515337,0.124744376278119,0.0564018490144027,Up in MS
OSCAR,,,,,0.0460048426150121,0.0242130750605327,,,,0.813559322033898,,1,,0.036319612590799,0.0562377007032071,Up in MS
PTPRF,0.113744075829384,0.587677725118484,1,0.246445497630332,0.62085308056872,0.243285939968404,0.0537124802527646,0.0205371248025277,0.0157977883096367,,,0.0805687203791469,0.126382306477093,0.287519747235387,0.056193975333683,Up in MS
CX3CL1,0.591911764705882,0.113970588235294,0.110294117647059,0.452205882352941,1,0.720588235294118,,0.0514705882352941,,,,,,0.0955882352941177,0.0551111576118617,Up in MS
DCBLD2,0.285540704738761,0.201701093560146,0.43134872417983,1,0.597812879708384,0.588092345078979,0.0109356014580802,0.0170109356014581,0.00972053462940462,,0.0328068043742406,0.0534629404617254,0.0218712029161604,0.240583232077764,0.054802324005321,Up in MS
IFIT3,0.34,0.0866666666666667,1,0.0888888888888889,0.157777777777778,0.142222222222222,0.0755555555555555,0.0777777777777778,0.204444444444444,0.593333333333333,0.00666666666666667,0.482222222222222,0,0.355555555555556,0.0541639272766788,Up in MS
PLAUR,0.00149147266714221,0.000453926463912846,,0.000194539913105505,0.000518773101614681,0.000745736333571104,0.00911095259710784,0.0228908631087478,0.00256144218922249,1,0.0195512612671033,0.286849101874068,0.00499319110304131,0.128461189287335,0.0538002426765725,Up in MS
LTBP2,1,0.102325581395349,,,0.0465116279069768,,0.0558139534883721,,,,,0.334883720930233,0.0744186046511628,,0.0535121787510036,Up in MS
FOLR1,,,,,,,0.229885057471264,0.160919540229885,,,,0.459770114942529,0.206896551724138,1,0.0529884699908653,Up in MS
ELOB,0,0.0128036769533815,0.0318450426789232,0.00705843729481287,0.00869993434011819,0.0136244254760341,0.505581089954038,0.357682206172029,0.586999343401182,1,0.367695338148391,0.735718975705844,0.766743269862114,0.447964543663821,0.0528994259838687,Up in MS
SUSD2,1,,,,,,,,,,,,,0.740740740740741,0.0521992617471508,Up in MS
RNASET2,0.139167862266858,0.0104343289422199,0,0.0157819225251076,0.0151297769662189,0.0443458980044346,0.190817790530847,0.367549236989696,0.0782574670666493,0.767053606364941,1,0.550541280813878,0.203469414373288,0.161471240380853,0.0518525845239567,Up in MS
